Puzzle,Solution,
.........13.4.....6.....742...716..3.62.9.1..7..3...9....2783.....1..927.......8.,427659831138427569659831742984716253362594178715382496596278314843165927271943685,
.63......2...8...419...62.85..8.132....4.......9.6....4.2......9...5.46..5..1....,863142759275983614194576238546891327318427596729365841482639175931758462657214983,
2..7.4....8.19.3.5.91..54...58...9....25...48...21.5.............7...8...4.98....,265734189784196325391825467658473912132569748479218536816357294927641853543982671,
.4.......13.564.....78......1...8..9.5.1.63....4...7..5...7.....6.93.5........4..,645297813138564927297813645316748259759126384824359761583472196462931578971685432,
......8.7....1..63...768..1..42.....1.6..34..8.769....7.....23..........932....7.,619532847278419563543768921394251786126873459857694312781946235465327198932185674,
.........9.4......6.5..9.4...9..5..6..8.9..257..82..9......83...374...5..2....4.7,382647519914253678675189243249715836168394725753826194491578362837462951526931487,
23...5.9.4.1....2..7..6......4.....6569.7314.7...........3.1..76......5...5......,236185794451739628978264531184592376569873142723416985892351467617948253345627819,
..3......81...53............6.4...8.4..67...1....21..3....1.56..45.3..2.62....8..,253167498814295376976384215169453782432678951587921643398712564745836129621549837,
9...34...4..9.5..1.58.......4..8....8.1.4...33...2...4...........927......3..17.5,912834657437965821658712439745389216821546973396127584174658392569273148283491765,
..1.3...2.4...26.3...7...........1.....5.3..8...68.74.5....4.2..1.3.68.4....78...,671435982945812673328769451864927135197543268253681749586194327712356894439278516,
1....57..2...79.1.75...23.9....9....6.........3....5...7..1..38....26....2.53.9.1,149385726263479815758162349415298673682753194937641582576914238391826457824537961,
.6.....45857.....9......32........7......9..22..7..8.67..9.528.4....85.3.9.......,362891745857324619914567328183256974675489132249713856736945281421678593598132467,
.....4817....75......63.49...6.8.....3.4.91.67.....9......9.3.1.6.......8.....74.,653924817489175623127638495916387254238459176745216938574892361362741589891563742,
3....59...74....2...2.7.836..3.6...9....8.4...2........5..423.7.49...2.....8.....,381625974674398125592471836413267589765983412928514763856142397149736258237859641,
...8..9...84.5...7....1.3.......4...1.9.7.........9...2....58.3.7.4.82....3.2.79.,321847956684953127597216384752384619169572438438169572216795843975438261843621795,
573.4.9...4..8....1......45.52.....9...2.3.8.9.....37.42.......8....2......7...3.,573146928246985713189327645352871469764293581918564372421639857837452196695718234,
7.....8.9.....43.6.2..85..4.....36....4..7..28..69..4.....4....68..7......9..6...,745361829198724356326985174217453698964817532853692741531248967682579413479136285,
..1...........43..746..........1..75....6284..3..7...2.2...56..8....6...1.4......,351689724298754316746321598682413975517962843439578162923145687875296431164837259,
628...5......5......36..9..4.9...2..2....9..3....8.....6...1.9.5.2.3.8.6....2.15.,628794531941352768753618924479163285285479613136285479867541392512937846394826157,
...6..2.73............9...1.....9...4...2..56...341.29..21..34..5.43..6.........5,845613297319275684726894531281569473493728156567341829972156348158437962634982715,
.753..4..3.8..9.2....24...3...1.7.3...3....1.8..49.75........47.9..8......4......,275368491348719625916245873469157238753826914821493756682931547197584362534672189,
.....1......7..59..6..4..2...63...79..9..76.......541.7...6.......1....514.2.3...,934521786281736594567849321456312879319487652872695413725964138693178245148253967,
.34........1...24.2....8.1..4..328..5.68.............1.7.....3.6.......8.8.3..57.,734126985861953247259748613147532869596817324328469751975684132613275498482391576,
....5....57.1...4.6..2.....29.74..53..3..2...........2.4.5...36...47...572..31..4,912854367578163249634297518291746853453982671867315492149528736386479125725631984,
6.......47..9....2.82.......3......62.4.....55684.......9.435......8.7.3.....56.9,691372854745968132382154967937521486214896375568437291179643528456289713823715649,
1.....7...59........8....1....61.2.99.....3.7....57...6.5..9....92.6.1..7.12....3,164532798259781436378496512547613289916824357823957641635179824492368175781245963,
.......3.725............725..2...673.7........36..82.9..98.6.....8.7...65...1.8..,684527931725139468193684725852491673971362584436758219219846357348275196567913842,
....1..3.3....96.....5.2...76.....2.....86...5..3.19.....2.3..8........9..9.65..1,492618537315479682687532194761954823923786415548321976154293768836147259279865341,
..9..3........785.6.5..........1.9............2.89.51..1..6..9386...2.......5...7,289543761341627859675189324458316972196275438723894516514768293867932145932451687,
1.2.9.....9.1...4.3..85....5..28..1......4......3.5...45.7..9...1.....83.8.9....2,162497538895163247374852196537289614928614375641375829453728961219546783786931452,
.....426....51.3......3...79.....43.......75.2.5........9...5..1..6.....76.4.21..,391784265627519348584236917976825431843961752215347689439178526152693874768452193,
.2...5..9.....9.2...6....7..658....2.976......4....3...5238..4...34..7...........,724165839581739624936248175165873492397624518248951367652387941813492756479516283,
3....168482......39....521.5....8...68...2.3....46...........5.2..6539......8....,357291684821746593946835217592318476684572139713469825469127358278653941135984762,
......7..87..5..2......7.3...65....23.8.72..975.16.........1298.......6..3...5...,963218745874356921125947836496583172318472659752169384547631298281794563639825417,
....3.6.....1....2.5..9......3.2....8....692.6.......85....8...4..5....1...214..3,278435619369187452154692387943821765817356924625749138531978246492563871786214593,
.4.....7.21.67...9..6...1.2....2..........348.61498......9..2.4...7.........1.68.,549231876218675439736849152854327961927156348361498725675983214182764593493512687,
..95..6...6............1...42.....3......65.....9432.71..6.4..3296...7...3..7....,749532618561489372382761495428157936973826541615943287157694823296318754834275169,
5.3...7..6...3.84.1...9.5.3....136.....5.4.1.....6...4.1.78..65..6..........5....,523148796697235841148697523485913672269574318731862954314789265956321487872456139,
